frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
496,3,2,0,1,0,1,1,1,1,0,0,0,3,1,1,2,1,2,0,1,4,4,2,0,0,0,1,2,0,0,4,0,0,2,3,3
501,2,1,1,3,0,0,0,1,2,2,1,1,1,4,3,1,2,1,1,1,0,1,2,0,1,2,0,2,0,1,1,2,1,0,1,1
506,3,1,2,1,1,1,1,2,1,0,1,2,2,1,1,0,1,0,0,1,3,1,1,0,2,0,1,0,3,2,0,1,1,1,1,1
511,0,0,0,3,0,0,1,0,1,0,2,1,0,1,1,2,1,3,1,1,1,1,2,1,0,1,1,2,3,2,2,0,0,1,1,3
516,2,0,0,1,0,3,2,1,1,0,0,3,1,0,1,1,1,0,2,0,2,2,1,3,0,1,1,1,0,3,0,1,1,1,0,2
521,1,1,2,0,3,0,1,1,0,1,0,2,1,2,0,0,0,2,0,3,0,1,1,2,2,0,2,0,0,1,2,0,1,1,2,2
526,0,0,4,1,0,0,0,1,2,1,2,1,0,1,1,3,0,0,4,0,1,1,1,1,0,0,1,0,3,1,1,3,1,0,0,4
531,1,1,1,0,1,1,0,1,0,0,0,0,3,0,1,0,3,1,1,1,0,2,3,1,1,0,1,2,2,0,2,1,2,1,1,1
536,2,3,1,2,0,0,0,1,2,0,0,3,0,1,1,1,2,1,1,2,2,1,2,1,2,1,1,0,3,3,0,0,0,1,1,2
541,4,2,0,0,1,1,1,1,2,1,1,0,0,1,2,1,0,3,1,2,0,2,2,2,1,0,1,1,1,0,1,0,3,2,0,0
546,2,1,3,1,1,2,1,1,0,0,1,2,0,1,0,1,3,2,1,0,0,0,0,2,1,2,0,2,0,2,1,2,0,4,1,0
551,1,4,1,1,0,1,1,0,1,0,1,1,0,2,3,0,1,1,0,0,2,3,1,2,0,0,0,2,0,2,2,0,1,2,1,1
