length,contour_length,vertical_heights,angles
31,33.89949493661167,3,163.34770026964586
31,34.72792206135786,3,162.67386330483797
31,35.72792206135786,0,148.7069610040798
31,34.31370849898476,2,145.30484646876604
31,33.485281374238575,0,158.07041224982464
31,34.31370849898476,2,150.33819614050535
31,34.071067811865476,4,150.70863782901574
31,32.65685424949238,4,158.19859051364818
31,33.071067811865476,3,155.47227951974193
31,32.242640687119284,3,165.96375653207355
32,37.55634918610404,2,139.09567043481346
32,37.970562748477136,1,142.08993014415523
32,36.970562748477136,2,145.62854799368625
32,36.14213562373095,2,159.34108993669253
32,35.31370849898476,2,159.3651796978168
32,35.31370849898476,4,166.7594800848128
32,35.72792206135786,3,163.38557551087365
32,36.72792206135786,0,149.23259561053743
32,35.31370849898476,2,145.66978280449666
32,34.485281374238575,0,158.68208772453846
32,35.31370849898475,2,150.8838537339211
32,35.071067811865476,4,150.8323866204222
32,34.07106781186547,3,155.59602831114842
32,34.071067811865476,3,155.59602831114842
32,33.242640687119284,3,165.96375653207355
33,38.55634918610404,2,140.1213165107786
33,38.970562748477136,1,143.2059405355625
33,37.970562748477136,2,146.63363399894044
33,37.55634918610404,1,156.16125981682828
33,36.72792206135786,1,156.0165848833599
33,36.72792206135785,3,164.02572518039716
33,37.14213562373095,2,166.94175660512875
33,37.72792206135786,0,149.712047009334
33,36.31370849898476,2,146.00354085174953
33,35.89949493661167,1,158.33101503789607
33,36.31370849898475,2,151.37354932705028
33,36.485281374238575,3,148.46520809481171
33,35.07106781186547,3,155.70903759164904
33,35.071067811865476,3,155.70903759164904
33,34.65685424949238,2,163.2374455381673
34,39.55634918610404,2,141.05612972275796
34,39.970562748477136,1,144.21102654081668
34,39.38477631085023,3,144.84372339069435
34,38.55634918610404,1,156.85153701469335
34,38.14213562373095,0,153.17992478223448
34,37.727922061357845,3,164.29726712608166
34,38.14213562373095,2,167.21329855081325
34,38.72792206135786,0,150.15108653501565
34,37.31370849898476,2,146.30993247402023
34,36.89949493661166,1,158.53711407528021
34,37.31370849898475,2,151.81541033199855
34,37.89949493661167,2,146.30993247402023
34,36.48528137423857,2,153.434948822922
34,36.071067811865476,3,155.81264648325939
34,36.071067811865476,1,160.76932762433876
35,40.556349186104036,2,141.91122711902466
35,40.97056274847713,1,145.1204069900158
35,40.38477631085023,3,145.7785366026737
35,39.97056274847714,0,153.75865034784223
35,39.55634918610405,1,149.56187807438408
35,39.142135623730944,2,160.98632561147022
35,39.55634918610404,1,163.90235703620186
35,39.72792206135786,0,150.5545712700744
35,38.31370849898476,2,146.59217541029105
35,37.89949493661166,1,158.72683450610552
35,38.31370849898475,2,152.21607358779073
35,38.89949493661167,2,146.59217541029105
35,37.48528137423857,2,153.62466925374733
35,37.071067811865476,3,155.9079804710097
35,37.071067811865476,1,160.9940158039632
36,41.556349186104036,2,142.69605172201656
36,41.97056274847713,1,145.94673112974505
36,41.38477631085023,3,146.63363399894044
36,41.384776310850235,1,150.78075330951538
36,40.97056274847714,2,147.4142926460856
36,40.556349186104036,1,158.1033621589307
36,40.970562748477136,0,160.5599651718238
36,40.72792206135786,0,150.9266165572777
36,39.31370849898476,2,146.853004167744
36,38.89949493661166,1,158.90205041101083
36,39.31370849898475,2,152.58100992352138
36,39.89949493661167,2,146.853004167744
36,38.48528137423857,2,153.79988515865267
36,38.48528137423857,2,153.79988515865267
36,38.071067811865476,1,161.20011484134733
37,42.556349186104036,2,143.41866287779968
37,42.97056274847713,1,146.70057946281582
37,42.38477631085023,3,147.41845860193231
37,42.79898987322333,2,148.659656912854
