X,Y,Degree
523,762,3
523,764,3
524,534,3
525,69,3
526,516,3
526,534,3
527,196,3
527,621,3
528,511,3
530,39,3
530,397,3
529,771,3
531,215,3
531,693,3
532,675,3
534,565,3
534,817,3
534,794,3
536,439,3
537,119,3
537,160,3
537,565,3
538,135,3
539,129,3
540,762,3
542,90,3
543,167,3
543,172,3
543,266,3
545,442,3
544,578,3
546,79,3
546,187,3
546,534,3
546,543,3
546,762,3
548,349,3
548,398,3
549,669,3
551,129,3
551,350,3
551,369,3
551,453,3
551,534,3
552,441,3
552,451,3
552,605,3
552,217,3
553,520,3
553,531,3
553,672,3
554,161,3
556,375,3
556,382,3
557,441,3
557,625,3
557,655,3
557,541,3
559,653,3
561,203,3
561,752,3
562,210,3
562,431,3
562,629,3
562,715,3
562,719,3
563,588,3
563,752,3
564,304,3
564,509,3
564,511,3
564,689,3
566,266,3
566,669,3
568,212,3
568,588,3
569,26,3
569,242,3
569,241,3
569,320,3
569,561,3
569,752,3
571,288,3
571,779,3
572,576,3
572,787,3
573,167,3
573,177,3
572,273,3
574,497,3
575,474,3
575,673,3
575,739,3
576,669,3
576,791,3
576,795,3
577,163,3
578,824,3
580,28,3
580,452,3
581,478,3
582,91,3
582,479,3
582,805,3
584,101,3
585,452,3
587,550,3
588,40,3
588,414,3
590,414,3
591,486,3
591,520,3
591,827,3
593,241,3
593,405,3
593,492,3
593,494,3
593,739,3
595,57,3
595,700,3
596,431,3
596,458,3
597,490,3
597,517,3
598,182,3
599,610,3
599,811,3
600,220,3
600,307,3
600,499,3
601,630,3
601,660,3
602,315,3
602,329,3
603,291,3
603,343,3
603,359,3
603,560,3
603,737,3
604,634,3
604,649,3
606,405,3
607,132,3
606,367,3
612,31,3
612,808,3
613,431,3
613,458,3
613,731,3
614,11,3
614,73,3
614,101,3
613,434,3
618,210,3
618,462,3
618,826,3
619,763,3
619,814,3
620,145,3
620,814,3
622,628,3
621,714,3
623,407,3
623,462,3
624,253,3
624,111,3
625,270,3
626,751,3
627,541,3
627,555,3
627,752,3
628,210,3
629,655,3
630,41,3
630,540,3
631,111,3
632,407,3
632,567,3
635,171,3
635,369,3
635,636,3
635,692,3
636,161,3
636,670,3
636,714,3
637,41,3
637,304,3
637,354,3
637,414,3
638,571,3
638,601,3
638,611,3
638,817,3
639,136,3
639,540,3
641,471,3
641,761,3
642,449,3
642,571,3
