X,Y,Degree
209,464,3
489,311,3
301,672,3
170,575,3
397,552,3
648,606,3
633,475,3
11,265,3
534,21,3
689,165,3
416,233,3
272,34,3
601,467,3
7,212,3
286,566,3
446,528,3
582,14,3
435,181,3
40,547,3
202,91,3
386,513,3
694,366,3
91,557,3
399,276,3
572,614,3
384,512,3
357,182,3
450,303,3
221,601,3
299,492,3
41,694,3
28,244,3
15,322,3
62,221,3
434,185,3
282,479,3
331,192,3
106,534,3
582,263,3
56,515,3
515,283,3
389,254,3
531,525,3
256,136,3
154,164,3
209,78,3
687,45,3
283,601,3
20,12,3
657,199,3
113,687,3
713,608,3
296,275,3
619,606,3
438,16,3
166,333,3
366,473,3
51,565,3
516,90,3
483,454,3
442,132,3
92,326,3
82,675,3
91,162,3
498,67,3
484,654,3
23,392,3
482,161,3
229,565,3
606,604,3
110,157,3
558,689,3
558,368,3
723,190,3
404,279,3
234,470,3
167,97,3
85,209,3
469,183,3
467,85,3
323,646,3
403,173,3
611,689,3
606,649,3
468,184,3
370,123,3
187,364,3
183,460,3
545,308,3
514,256,3
244,342,3
76,87,3
658,144,3
692,532,3
519,230,3
130,200,3
289,12,3
639,618,3
723,532,3
94,271,3
132,108,3
170,79,3
287,157,3
39,620,3
281,158,3
468,183,3
582,625,3
422,232,3
516,143,3
